party,press_release,claim_number,claim_text,provider,id,doi,title,abstract,year,venue,authors,url,is_open_access
Democratic,20241226-new-year-new-laws.txt,1,AI-driven child sexual exploitation poses a new frontier of threats.,publisher,stacks.stanford.edu-druid-kh752sm9123,,Identifying and Eliminating CSAM in Generative ML Training Data and Models,"Technical report documents thousands of CSAM links in a major image‑text dataset used to train popular generative models, with recommendations for dataset cleansing and model deprecation.",2023,Stanford Internet Observatory (report),David Thiel,https://stacks.stanford.edu/file/druid:kh752sm9123/ml_training_data_csam_report-2023-12-23.pdf,True
Democratic,20241226-new-year-new-laws.txt,1,AI-driven child sexual exploitation poses a new frontier of threats.,arXiv,arXiv:2402.01721,,"Non-Consensual Synthetic Intimate Imagery: Prevalence, Attitudes, and Knowledge in 10 Countries","Large cross‑national survey quantifies victimization and perpetration of deepfake pornography and attitudes towards it, informing policy on synthetic sexual imagery harms.",2024,arXiv,Rebecca Umbach; Nicola Henry; Gemma Beard; Colleen Berryessa,https://arxiv.org/abs/2402.01721,True
Democratic,20241226-new-year-new-laws.txt,1,AI-driven child sexual exploitation poses a new frontier of threats.,arXiv,arXiv:2406.06965,,Evolving from Single-modal to Multi-modal Facial Deepfake Detection: A Survey,"Survey of modern deepfake generation and detection, including diffusion‑based methods and multi‑modal detection strategies relevant to combating sexualized synthetic media.",2024,arXiv,Ping Liu; Qiqi Tao; Joey Tianyi Zhou,https://arxiv.org/abs/2406.06965,True
Democratic,20241226-new-year-new-laws.txt,1,AI-driven child sexual exploitation poses a new frontier of threats.,publisher,10.1038/s41598-024-83003-4,10.1038/s41598-024-83003-4,Effectiveness of machine learning methods in detecting grooming: a systematic meta-analytic review,"Meta‑analysis of ML approaches for online grooming detection reports strong performance for several models, supporting AI use in early identification of child exploitation risks.",2025,Scientific Reports,Marcelo Leiva-Bianchi; Nicolas Castillo; César A. Astudillo; Francisco Ahumada-Méndez,https://www.nature.com/articles/s41598-024-83003-4,True
Democratic,20241226-new-year-new-laws.txt,1,AI-driven child sexual exploitation poses a new frontier of threats.,arXiv,arXiv:2201.03045,,Applying Artificial Intelligence for Age Estimation in Digital Forensic Investigations,"Discusses AI‑based facial age estimation to assist investigations where apparent age is critical, highlighting dataset needs and forensic considerations.",2022,arXiv,Thomas Grubl; Harjinder Singh Lallie,https://arxiv.org/abs/2201.03045,True
Democratic,20241226-new-year-new-laws.txt,1,AI-driven child sexual exploitation poses a new frontier of threats.,arXiv,arXiv:2406.11592,,ChildDiffusion: Unlocking the Potential of Generative AI and Controllable Augmentations for Child Facial Data using Stable Diffusion and Large Language Models,"Introduces a framework for generating photorealistic child faces and augmentations; while aimed at benign datasets, it illustrates capabilities that could be misused for synthetic child imagery.",2024,arXiv,Muhammad Ali Farooq; Wang Yao; Peter Corcoran,https://arxiv.org/abs/2406.11592,True
Democratic,20241226-new-year-new-laws.txt,1,AI-driven child sexual exploitation poses a new frontier of threats.,publisher,10.3390/electronics13030585,10.3390/electronics13030585,"A Contemporary Survey on Deepfake Detection: Datasets, Algorithms, and Challenges","Comprehensive review of deepfake detection methods and datasets, including issues introduced by diffusion models relevant to sexual deepfake mitigation.",2024,Electronics,Liang Yu Gong; Xue Jun Li,https://www.mdpi.com/2079-9292/13/3/585,True
Democratic,20241226-new-year-new-laws.txt,1,AI-driven child sexual exploitation poses a new frontier of threats.,publisher,10.1007/s11757-023-00790-8,10.1007/s11757-023-00790-8,Child sexual abuse material on the darknet,"Reviews the prevalence, dynamics, and policing of CSAM on darknet markets and forums, providing context for how AI‑generated content may intersect with existing ecosystems.",2023,"Forensische Psychiatrie, Psychologie, Kriminologie",Ciaran Gannon; Arjan A. J. Blokland; Sampo Huikuri; others,https://link.springer.com/article/10.1007/s11757-023-00790-8,True
Democratic,20241226-new-year-new-laws.txt,1,AI-driven child sexual exploitation poses a new frontier of threats.,arXiv,arXiv:2308.03880,,Guarding the Guardians: Automated Analysis of Online Child Sexual Abuse,"Proposes an automated NLP pipeline to categorize online child sexual abuse reports, aiming to reduce analyst exposure and support law‑enforcement triage.",2023,arXiv,Juanita Puentes; Angela Castillo; Wilmar Osejo; Yuly Calderón; Viviana Quintero; Lina Saldarriaga; Diana Agudelo; Pablo Arbeláez,https://arxiv.org/abs/2308.03880,True
Democratic,20241226-new-year-new-laws.txt,1,AI-driven child sexual exploitation poses a new frontier of threats.,publisher,10.1177/15248380221147564,10.1177/15248380221147564,Livestreaming Technology and Online Child Sexual Exploitation and Abuse: A Scoping Review,"Scoping review of livestreamed child sexual exploitation and abuse, discussing technology‑facilitated dynamics and implications for prevention and response.",2024,"Trauma, Violence, & Abuse",Catharina Drejer; Michael A. Riegler; Pål Halvorsen; Miriam S. Johnson; Gunn Astrid Baugerud,https://journals.sagepub.com/doi/10.1177/15248380221147564,False
Democratic,20241226-new-year-new-laws.txt,2,AI-generated elections deepfakes pose threats.,publisher,10.1177/2056305120903408,10.1177/2056305120903408,"Deepfakes and Disinformation: Exploring the Impact of Synthetic Political Video on Deception, Uncertainty, and Trust in News","An online experiment with a representative UK sample shows political deepfakes are more likely to induce uncertainty than outright deception, but this uncertainty reduces trust in news on social media.",2020,Social Media + Society,Cristian Vaccari; Andrew Chadwick,https://journals.sagepub.com/doi/10.1177/2056305120903408,True
Democratic,20241226-new-year-new-laws.txt,2,AI-generated elections deepfakes pose threats.,publisher,10.1177/1940161220944364,10.1177/1940161220944364,Do (Microtargeted) Deepfakes Have Real Effects on Political Attitudes?,"Using a political deepfake in an experiment, the authors find small negative effects on attitudes toward the depicted politician; microtargeting can amplify effects for a narrow susceptible subgroup.",2020,The International Journal of Press/Politics,Tom Dobber; Nadia Metoui; Damian Trilling; Natali Helberger; Claes de Vreese,https://journals.sagepub.com/doi/10.1177/1940161220944364,False
Democratic,20241226-new-year-new-laws.txt,2,AI-generated elections deepfakes pose threats.,publisher,10.1177/02673231231184703,10.1177/02673231231184703,They Would Never Say Anything Like This! Reasons To Doubt Political Deepfakes,An experiment shows people find political deepfakes relatively believable and struggle to distinguish them from authentic videos; doubts hinge more on content implausibility than on visible glitches.,2024,European Journal of Communication,Michael Hameleers; Toni G. L. A. van der Meer; Tom Dobber,https://journals.sagepub.com/doi/10.1177/02673231231184703,True
Democratic,20241226-new-year-new-laws.txt,2,AI-generated elections deepfakes pose threats.,publisher,10.1086/732990,10.1086/732990,Political deepfakes are as credible as other fake media and (sometimes) real media,"Across large-scale experiments with realistic political deepfakes, the authors find deepfakes are about as credible as textual/audio misinformation; exposure can also prompt mislabeling of authentic media as fake.",2025,Journal of Politics,Soubhik Barari; Christopher Lucas; Kevin Munger,https://www.journals.uchicago.edu/doi/10.1086/732990,False
Democratic,20241226-new-year-new-laws.txt,2,AI-generated elections deepfakes pose threats.,publisher,10.1017/S0003055423001454,10.1017/S0003055423001454,The Liar’s Dividend: Can Politicians Claim Misinformation to Evade Accountability?,"Five survey experiments (N>15,000) show politicians can boost support by falsely claiming stories are fake news or deepfakes, especially for text-based scandals—highlighting indirect threats to accountability.",2025,American Political Science Review,Kaylyn Jackson Schiff; Daniel S. Schiff; Natália S. Bueno,https://www.cambridge.org/core/journals/american-political-science-review/article/liars-dividend-can-politicians-claim-misinformation-to-evade-accountability/687FEE54DBD7ED0C96D72B26606AA073,True
Democratic,20241226-new-year-new-laws.txt,2,AI-generated elections deepfakes pose threats.,publisher,10.1007/s44206-022-00010-6,10.1007/s44206-022-00010-6,Deepfakes and Democracy (Theory): How Synthetic Audio-Visual Media for Disinformation and Hate Speech Threaten Core Democratic Functions,"This theory article argues deepfakes undermine empowered inclusion, deliberation, and collective decision-making by degrading trust and the epistemic quality of public discourse—threatening elections even via fear effects.",2022,Digital Society,Maria Pawelec,https://link.springer.com/article/10.1007/s44206-022-00010-6,True
Democratic,20241226-new-year-new-laws.txt,2,AI-generated elections deepfakes pose threats.,publisher,10.1057/s41304-024-00482-9,10.1057/s41304-024-00482-9,On the way to deep fake democracy? Deep fakes in election campaigns in 2023,A cross-country analysis of 2023 election cases documents political use of deepfakes and argues their main current danger is polluting the information environment and eroding trust ahead of major 2024 elections.,2024,European Political Science,Mateusz Łabuz; Christopher Nehring,https://link.springer.com/article/10.1057/s41304-024-00482-9,True
Democratic,20241226-new-year-new-laws.txt,2,AI-generated elections deepfakes pose threats.,publisher,10.1016/j.isci.2021.103364,10.1016/j.isci.2021.103364,Fooled twice: People cannot detect deepfakes but think they can,"A preregistered experiment finds individuals perform poorly at detecting deepfakes, remain biased toward believing fakes are real, and overestimate their detection ability—implications for susceptibility during elections.",2021,iScience,Nils C. Köbis; Barbora Doležalová; Ivan Soraperra,https://www.sciencedirect.com/science/article/pii/S2589004221012591,True
Democratic,20241226-new-year-new-laws.txt,2,AI-generated elections deepfakes pose threats.,publisher,10.1073/pnas.2110013119,10.1073/pnas.2110013119,"Deepfake detection by human crowds, machines, and machine-informed crowds","With 15,016 participants, the study shows ordinary humans and leading models achieve similar deepfake-detection accuracy; combining them helps, but incorrect model cues can mislead humans—relevant for election integrity workflows.",2022,PNAS,Matthew Groh; Ziv Epstein; Chaz Firestone; Rosalind Picard,https://www.pnas.org/doi/10.1073/pnas.2110013119,True
Democratic,20241226-new-year-new-laws.txt,2,AI-generated elections deepfakes pose threats.,publisher,10.1038/s41467-024-51998-z,10.1038/s41467-024-51998-z,"Human detection of political speech deepfakes across transcripts, audio, and video","Across five preregistered experiments, audio-visual cues improve discernment relative to text alone, and TTS-based audio deepfakes are harder to detect than voice-actor versions—highlighting risks from realistic synthetic speech in politics.",2024,Nature Communications,Matthew Groh; Aruna Sankaranarayanan; Nikhil Singh; Dong Young Kim; Andrew Lippman; Rosalind Picard,https://www.nature.com/articles/s41467-024-51998-z,True
Democratic,20241226-new-year-new-laws.txt,2,AI-generated elections deepfakes pose threats.,publisher,10.1093/jcmc/zmac008,10.1093/jcmc/zmac008,Detection of political deepfakes,"Three preregistered studies on political deepfakes (e.g., Johnson, Obama) propose a detection theory and show analytic thinking and political interest modestly improve human detection of manipulated videos.",2022,Journal of Computer-Mediated Communication,Fabian Prietzel,https://academic.oup.com/jcmc/article/27/4/zmac008/6650406,False
Democratic,20241226-new-year-new-laws.txt,2,AI-generated elections deepfakes pose threats.,publisher,10.1093/jcmc/zmab010,10.1093/jcmc/zmab010,Seeing Is Believing: Is Video Modality More Powerful in Spreading Fake News via Online Messaging Apps?,A field experiment in India finds video misinformation is perceived as more credible and is more likely to be shared than audio or text—implicating deepfake videos as potent vectors during elections.,2021,Journal of Computer-Mediated Communication,Maria D. Molina; Eugene Cho; S. Shyam Sundar,https://academic.oup.com/jcmc/article/26/6/301/6336055,False
Democratic,20241226-new-year-new-laws.txt,2,AI-generated elections deepfakes pose threats.,publisher,10.1007/s13347-020-00419-2,10.1007/s13347-020-00419-2,The Epistemic Threat of Deepfakes,"Analyzes how deepfakes reduce the information-carrying value of video evidence, thereby threatening knowledge practices and public accountability central to democratic elections.",2021,Philosophy & Technology,Don Fallis,https://link.springer.com/article/10.1007/s13347-020-00419-2,False
Democratic,20241226-new-year-new-laws.txt,2,AI-generated elections deepfakes pose threats.,publisher,10.1007/s13347-021-00459-2,10.1007/s13347-021-00459-2,The Distinct Wrong of Deepfakes,"Argues deepfakes enable new forms of deception—with societal risks including blackmail, incitement, and democratic harm—and evaluates mitigation like labeling and provenance with limits for election contexts.",2021,Philosophy & Technology,Arno de Ruiter,https://link.springer.com/article/10.1007/s13347-021-00459-2,True
Democratic,20241226-new-year-new-laws.txt,2,AI-generated elections deepfakes pose threats.,publisher,10.15779/Z38RV0D15J,10.15779/Z38RV0D15J,"Deep Fakes: A Looming Challenge for Privacy, Democracy, and National Security","Seminal legal analysis detailing how deepfakes can distort democratic discourse, manipulate elections, and erode institutional trust; introduces the “liar’s dividend.”",2019,California Law Review,Bobby Chesney; Danielle Citron,https://www.californialawreview.org/print/deep-fakes-a-looming-challenge-for-privacy-democracy-and-national-security,True
Democratic,20241226-new-year-new-laws.txt,2,AI-generated elections deepfakes pose threats.,publisher,10.1177/1461444820925811,10.1177/1461444820925811,Anticipating and addressing the ethical implications of deepfakes in the context of elections,"Using scenario analysis, the authors outline election-specific harms from deepfakes and recommend responses spanning literacy, subject defense, verification, and publicity modulation.",2020,New Media & Society,Nicholas Diakopoulos; Deborah G. Johnson,https://journals.sagepub.com/doi/10.1177/1461444820925811,False
Democratic,20241226-new-year-new-laws.txt,2,AI-generated elections deepfakes pose threats.,publisher,10.1177/1940161220918740,10.1177/1940161220918740,Protecting Democracy from Disinformation: Normative Threats and Policy Responses,"Conceptualizes how disinformation threatens democratic goods including electoral integrity and deliberation, clarifying policy levers that also apply to deepfake-based election manipulation.",2020,The International Journal of Press/Politics,Chris Tenove,https://journals.sagepub.com/doi/10.1177/1940161220918740,False
Democratic,20241226-new-year-new-laws.txt,2,AI-generated elections deepfakes pose threats.,publisher,10.1038/s42003-024-06372-6,10.1038/s42003-024-06372-6,Cortical-striatal brain network distinguishes deepfake from real speaker identity,"Neuroimaging evidence shows human brain networks differentially process deepfake vs. real voices, underscoring why audio deepfakes can mislead perception—relevant to robocall-style election threats.",2024,Communications Biology,Claudia Roswandowitz; Thayabaran Kathiresan; Elisa Pellegrino; Volker Dellwo; Sascha Frühholz,https://www.nature.com/articles/s42003-024-06372-6,True
Democratic,20241226-new-year-new-laws.txt,2,AI-generated elections deepfakes pose threats.,publisher,10.1177/14614448241253138,10.1177/14614448241253138,What we know and don’t know about deepfakes: An investigation into the state of the research and regulatory landscape,"A 2024 review synthesizes evidence on deepfake prevalence, effects, and governance; it notes limited persuasive advantage but significant risks via uncertainty and trust erosion in political contexts.",2024,New Media & Society,Alena Birrer; Natascha Just,https://journals.sagepub.com/doi/10.1177/14614448241253138,False
Democratic,20241226-new-year-new-laws.txt,2,AI-generated elections deepfakes pose threats.,publisher,,,Deepfakes and the Epistemic Backstop,"Philosophical analysis arguing that as recordings lose their ‘epistemic backstop’ role due to deepfakes, testimonial trust and public accountability—crucial in elections—are endangered.",2020,Philosophers’ Imprint,Regina Rini,https://quod.lib.umich.edu/p/phimp/3521354.0020.024/,True
Democratic,20241226-new-year-new-laws.txt,2,AI-generated elections deepfakes pose threats.,arXiv,arXiv:2101.09092,,Deepfakes and the 2020 US elections: what (did not) happen,"This analysis contends that warnings, platform actions, and awareness helped prevent deepfakes from affecting the 2020 U.S. elections, while cautioning that conditions may differ in future contests.",2021,arXiv,João Paulo Meneses,https://arxiv.org/abs/2101.09092,True
Democratic,20241226-new-year-new-laws.txt,3,"AI-generated pictures and videos of children being sexually abused are disturbing, harmful, and virtually indistinguishable from actual children.",publisher,10.1073/pnas.2120481119,10.1073/pnas.2120481119,AI-synthesized faces are indistinguishable from real faces and more trustworthy,"Across perceptual experiments, participants could not reliably distinguish GAN-synthesized faces from real ones and rated synthetic faces as slightly more trustworthy, indicating high photorealism that spans gender, race, and age ranges.",2022,PNAS,Sophie J. Nightingale; Hany Farid,https://www.pnas.org/doi/10.1073/pnas.2120481119,True
Democratic,20241226-new-year-new-laws.txt,3,"AI-generated pictures and videos of children being sexually abused are disturbing, harmful, and virtually indistinguishable from actual children.",publisher,10.1093/cybsec/tyad011,10.1093/cybsec/tyad011,Testing human ability to detect ‘deepfake’ images of human faces,"In an online experiment (N=280), average human accuracy for distinguishing StyleGAN2-generated faces from real faces was about 60–64% with high but misplaced confidence, and simple training interventions did not substantially improve performance.",2023,Journal of Cybersecurity,Sergi D. Bray; Shane D. Johnson; Bennett Kleinberg,https://academic.oup.com/cybersecurity/article/9/1/tyad011/7205694,True
Democratic,20241226-new-year-new-laws.txt,3,"AI-generated pictures and videos of children being sexually abused are disturbing, harmful, and virtually indistinguishable from actual children.",publisher,10.3390/jimaging11070227,10.3390/jimaging11070227,Interpretation of AI-Generated vs. Human-Made Images,"With 161 participants (professionals and non-professionals), AI-generated images were frequently misclassified as human-made and judged comparably credible, underscoring difficulties of human provenance detection in realistic imagery.",2025,Journal of Imaging,Daniela Velásquez-Salamanca; Miguel Ángel Martín-Pascual; Celia Andreu-Sánchez,https://www.mdpi.com/2313-433X/11/7/227,True
Democratic,20241226-new-year-new-laws.txt,3,"AI-generated pictures and videos of children being sexually abused are disturbing, harmful, and virtually indistinguishable from actual children.",arXiv,arXiv:2304.13023,10.48550/arXiv.2304.13023,Seeing is not always believing: Benchmarking Human and Model Perception of AI-Generated Images,"A large-scale benchmark finds that humans misclassify AI-generated images at high rates (38.7% error), while detectors still face generalization challenges, highlighting how photorealistic synthesis undermines human judgment.",2023,arXiv,Zeyu Lu; Di Huang; Lei Bai; Jingjing Qu; Chengyue Wu; Xihui Liu; Wanli Ouyang,https://arxiv.org/abs/2304.13023,True
Democratic,20241226-new-year-new-laws.txt,3,"AI-generated pictures and videos of children being sexually abused are disturbing, harmful, and virtually indistinguishable from actual children.",publisher,10.1001/jamanetworkopen.2022.34471,10.1001/jamanetworkopen.2022.34471,Prevalence of Online Sexual Offenses Against Children in the US,"A national survey (N=2,639) estimates lifetime exposure among youth to image-based sexual abuse at 11% and sextortion at 3.5%, evidencing the scale and harms of technology-facilitated sexual victimization of minors.",2022,JAMA Netw Open,David Finkelhor; Heather Turner; Deirdre Colburn,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2797002,True
Democratic,20241226-new-year-new-laws.txt,3,"AI-generated pictures and videos of children being sexually abused are disturbing, harmful, and virtually indistinguishable from actual children.",publisher,10.1016/j.chiabu.2023.106255,10.1016/j.chiabu.2023.106255,Exposure to sexual content and problematic sexual behaviors in children and adolescents: A systematic review and meta-analysis,"Meta-analysis of 27 studies (N≈16,200) finds that exposure to sexual content (including online pornography) is significantly associated with increased odds of problematic sexual behaviors in children and adolescents.",2023,Child Abuse & Neglect,Camille Mori; Julianna Park; Nicole Racine; Heather Ganshorn; Cailey Hartwick; Sheri Madigan,https://www.sciencedirect.com/science/article/pii/S0145213423002363,False
Democratic,20241226-new-year-new-laws.txt,3,"AI-generated pictures and videos of children being sexually abused are disturbing, harmful, and virtually indistinguishable from actual children.",publisher,10.1016/j.chiabu.2023.106020,10.1016/j.chiabu.2023.106020,Which dynamics make online child sexual abuse and cyberstalking more emotionally impactful: Perpetrator identity and images?,"Using detailed episode data from U.S. young adults recalling incidents before age 18, the study shows that sexual image misuse (non-consensual sharing/taking and sextortion) is linked to higher negative emotional impact.",2023,Child Abuse & Neglect,David Finkelhor; Heather Turner; Deirdre Colburn,https://www.sciencedirect.com/science/article/pii/S0145213423000017,False
Democratic,20241226-new-year-new-laws.txt,3,"AI-generated pictures and videos of children being sexually abused are disturbing, harmful, and virtually indistinguishable from actual children.",publisher,10.1177/15248380241277271,10.1177/15248380241277271,Sextortion: A Scoping Review,"A scoping review of 24 studies reports youth sextortion victimization prevalence of roughly 0.7–5% and documents substantial psychological and social harms, underscoring the seriousness of technology-facilitated sexual coercion.",2024,"Trauma, Violence, & Abuse",Alana Ray; Nicola Henry,https://journals.sagepub.com/doi/10.1177/15248380241277271,True
Democratic,20241226-new-year-new-laws.txt,3,"AI-generated pictures and videos of children being sexually abused are disturbing, harmful, and virtually indistinguishable from actual children.",publisher,10.3389/fpsyg.2025.1599087,10.3389/fpsyg.2025.1599087,Outcomes of image-based sexual abuse among young people: a systematic review,"Synthesizing 12 empirical studies on individuals aged 10–24, the review finds IBSA is associated with severe emotional distress (e.g., anxiety, depression, suicidality) and social/educational harms.",2025,Frontiers in Psychology,Per Moum Hellevik; Linn-Eirin Aronsen Haugen; Carolina Överlien,https://www.frontiersin.org/articles/10.3389/fpsyg.2025.1599087,True
Democratic,20241226-new-year-new-laws.txt,3,"AI-generated pictures and videos of children being sexually abused are disturbing, harmful, and virtually indistinguishable from actual children.",publisher,10.1002/jad.12064,10.1002/jad.12064,"Assessing image-based sexual abuse: Measurement, prevalence, and temporal stability of sextortion and nonconsensual sexting (“revenge porn”) among adolescents","Among 1,820 adolescents, validated measures captured sextortion and nonconsensual sexting; victimization correlated with depression and anxiety, and showed notable one-year stability, highlighting harm in youth.",2022,Journal of Adolescence,Manuel Gámez-Guadix; Estibaliz Mateos-Pérez; Sebastian Wachs; Michelle Wright; Jone Martínez; Daniel Íncera,https://onlinelibrary.wiley.com/doi/10.1002/jad.12064,True
Democratic,20241226-new-year-new-laws.txt,3,"AI-generated pictures and videos of children being sexually abused are disturbing, harmful, and virtually indistinguishable from actual children.",arXiv,arXiv:2212.11261,10.48550/arXiv.2212.11261,Contrastive Language-Vision AI Models Pretrained on Web-Scraped Multimodal Data Exhibit Sexual Objectification Bias,"Evaluating CLIP-class models and text-to-image systems, the study finds sexual objectification biases and shows that prompts like ""a [age]-year-old girl"" can yield sexualized images, evidencing risks for generating sexualized depictions of minors.",2022,arXiv,Robert Wolfe; Yiwei Yang; Bill Howe; Aylin Caliskan,https://arxiv.org/abs/2212.11261,True
Democratic,20241226-new-year-new-laws.txt,3,"AI-generated pictures and videos of children being sexually abused are disturbing, harmful, and virtually indistinguishable from actual children.",publisher,10.1145/3699710,10.1145/3699710,Deepfake Detection: A Comprehensive Survey from the Reliability Perspective,"A comprehensive survey of deepfake detection highlights persistent challenges in transferability, robustness, and interpretability, indicating current detectors often fail to generalize across generators and conditions.",2024,ACM Computing Surveys,Tianyi Wang; Xin Liao; Kam Pui Chow; Xiaodong Lin; Yinglong Wang,https://dl.acm.org/doi/10.1145/3699710,False
Democratic,20241226-new-year-new-laws.txt,3,"AI-generated pictures and videos of children being sexually abused are disturbing, harmful, and virtually indistinguishable from actual children.",arXiv,arXiv:2310.15150,10.48550/arXiv.2310.15150,Online Detection of AI-Generated Images,"Presents a streaming setting for AI-image detection aligned to real-world generator releases and extends to pixel-level detection for partial manipulations, emphasizing generalization issues for evolving synthesis.",2023,ICCV Workshops,David C. Epstein; Ishan Jain; Oliver Wang; Richard Zhang,https://arxiv.org/abs/2310.15150,True
Democratic,20241226-new-year-new-laws.txt,3,"AI-generated pictures and videos of children being sexually abused are disturbing, harmful, and virtually indistinguishable from actual children.",arXiv,arXiv:2311.12397,10.48550/arXiv.2311.12397,PatchCraft: Exploring Texture Patch for Efficient AI-generated Image Detection,"Proposes a texture-focused detector that improves cross-model detection of AI-generated images and notes that humans can hardly distinguish highly realistic AI imagery, motivating stronger forensic tools.",2023,arXiv,Nan Zhong; Yiran Xu; Sheng Li; Zhenxing Qian; Xinpeng Zhang,https://arxiv.org/abs/2311.12397,True
Democratic,20241226-new-year-new-laws.txt,3,"AI-generated pictures and videos of children being sexually abused are disturbing, harmful, and virtually indistinguishable from actual children.",arXiv,arXiv:2111.06628,10.48550/arXiv.2111.06628,Learning to Break Deep Perceptual Hashing: The Use Case NeuralHash,"Shows that Apple's NeuralHash can be reliably evaded or manipulated with small perturbations, raising concerns about client-side CSAM detection robustness against adversaries.",2021,arXiv,Lukas Struppek; Dominik Hintersdorf; Daniel Neider; Kristian Kersting,https://arxiv.org/abs/2111.06628,True
