party,uid,nli_deberta,nli_bart,claim,title
dem,dem|20190909-equal-pay-equal-play-bill-ab-467-signed-law.txt|3|10.1103/physrevphyseducres.16.010117,silent,silent,The passing of AB 467 is a societal shift toward equity and progress.,"Associations between learning assistants, passing introductory physics, and equity: A quantitative critical race theory "
dem,dem|20190909-equal-pay-equal-play-bill-ab-467-signed-law.txt|3|10.1016/j.ijinfomgt.2023.102642,silent,silent,The passing of AB 467 is a societal shift toward equity and progress.,"Opinion Paper: “So what if ChatGPT wrote it?” Multidisciplinary perspectives on opportunities, challenges and implicatio"
dem,dem|20190909-equal-pay-equal-play-bill-ab-467-signed-law.txt|3|10.15779/z38884g,silent,silent,The passing of AB 467 is a societal shift toward equity and progress.,A Transition toward Sustainability
dem,dem|20190909-equal-pay-equal-play-bill-ab-467-signed-law.txt|3|10.14507/epaa.v22.1571,silent,silent,The passing of AB 467 is a societal shift toward equity and progress.,The Global Transformation Toward Testing for Accountability
dem,dem|20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt|11|10.1109/access.2022.3219845,silent,silent,Pharmacists whose businesses are destroyed during a disaster currently must completely re-apply for a pharmacy license to reopen.,Healthcare in Metaverse: A Survey on Current Metaverse Applications in Healthcare
dem,dem|20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt|11|10.1016/j.rcsop.2022.100217,silent,silent,Pharmacists whose businesses are destroyed during a disaster currently must completely re-apply for a pharmacy license to reopen.,A grounded theory approach to exploring the experiences of community pharmacists in Lebanon to a triple whammy of crises
dem,dem|20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt|11|https://openalex.org/W2990321620,silent,refute,Pharmacists whose businesses are destroyed during a disaster currently must completely re-apply for a pharmacy license to reopen.,Improving Disaster Preparedness and Planning for Chronic Disease Populations
dem,dem|20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt|11|https://openalex.org/W2752381051,silent,silent,Pharmacists whose businesses are destroyed during a disaster currently must completely re-apply for a pharmacy license to reopen.,Two Centuries of Participation: NGOs and International Governance
dem,dem|20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt|11|10.25259/gjhsr_22_2022,silent,silent,Pharmacists whose businesses are destroyed during a disaster currently must completely re-apply for a pharmacy license to reopen.,"War and conflict escalation in the context of the COVID-19 pandemic, natural disasters, food, and economic crises: A cri"
dem,dem|20200128-assemblymember-ash-kalra-introduces-bill-make-california-leader-protecting.txt|3|10.1029/2007jg000640,support,silent,Tropical forests cover roughly seven percent of the Earth’s surface but harbor close to half of all species on Earth.,Patterns of water and heat flux across a biome gradient from tropical forest to savanna in Brazil
dem,dem|20200128-assemblymember-ash-kalra-introduces-bill-make-california-leader-protecting.txt|3|10.1002/2017rg000581,silent,silent,Tropical forests cover roughly seven percent of the Earth’s surface but harbor close to half of all species on Earth.,Pedotransfer Functions in Earth System Science: Challenges and Perspectives
dem,dem|20200128-assemblymember-ash-kalra-introduces-bill-make-california-leader-protecting.txt|3|10.1175/1520-0477(1998)079<0815:ddasva>2.0.co;2,silent,silent,Tropical forests cover roughly seven percent of the Earth’s surface but harbor close to half of all species on Earth.,"Desertification, Drought, and Surface Vegetation: An Example from the West African Sahel"
dem,dem|20200128-assemblymember-ash-kalra-introduces-bill-make-california-leader-protecting.txt|3|10.1371/journal.pone.0072540,silent,silent,Tropical forests cover roughly seven percent of the Earth’s surface but harbor close to half of all species on Earth.,Four Centuries of Change in Northeastern United States Forests
dem,dem|20200128-assemblymember-ash-kalra-introduces-bill-make-california-leader-protecting.txt|3|10.1029/2010jg001585,silent,silent,Tropical forests cover roughly seven percent of the Earth’s surface but harbor close to half of all species on Earth.,"Simulating the impacts of disturbances on forest carbon cycling in North America: Processes, data, models, and challenge"
dem,dem|20200207-boerner-horvath-holds-hearing-identify-sea-level-rise-threats-san-francisco.txt|2|10.1242/jeb.037903,silent,silent,Sea level is expected to climb another 1 to 3.4 feet by 2100.,Evaluation of the different forces brought into play during tube foot activities in sea stars
dem,dem|20200207-boerner-horvath-holds-hearing-identify-sea-level-rise-threats-san-francisco.txt|2|10.1145/3491101.3519680,silent,silent,Sea level is expected to climb another 1 to 3.4 feet by 2100.,Climb-o-Vision: A Computer Vision Driven Sensory Substitution Device for Rock Climbing
dem,dem|20200207-boerner-horvath-holds-hearing-identify-sea-level-rise-threats-san-francisco.txt|2|10.1155/2008/520417,silent,silent,Sea level is expected to climb another 1 to 3.4 feet by 2100.,"Soft Robotics: Biological Inspiration, State of the Art, and Future Research"
dem,dem|20200207-boerner-horvath-holds-hearing-identify-sea-level-rise-threats-san-francisco.txt|2|10.3354/meps292203,silent,silent,Sea level is expected to climb another 1 to 3.4 feet by 2100.,Role of grazing by sea urchins Strongylocentrotus droebachiensis in regulating the invasive alga Codium fragile ssp. tom
dem,dem|20200207-boerner-horvath-holds-hearing-identify-sea-level-rise-threats-san-francisco.txt|2|10.1146/annurev.earth.22.1.1,silent,silent,Sea level is expected to climb another 1 to 3.4 feet by 2100.,"Earth, Sea, and Sky: Life and Times of a Journeyman Geologist"
dem,dem|20200503-assemblywoman-quirk-silva-returns-state-capitol-tackle-budget-and.txt|3|10.1186/s12888-015-0678-4,refute,silent,"Legislative efforts are being made to address homelessness, mental health, and education during the pandemic.",Empirical evidence about recovery and mental health
dem,dem|20200503-assemblywoman-quirk-silva-returns-state-capitol-tackle-budget-and.txt|3|https://openalex.org/W2150031895,silent,silent,"Legislative efforts are being made to address homelessness, mental health, and education during the pandemic.",The Netherlands: health system review.
dem,dem|20200503-assemblywoman-quirk-silva-returns-state-capitol-tackle-budget-and.txt|3|10.7812/tpp/17-024,silent,silent,"Legislative efforts are being made to address homelessness, mental health, and education during the pandemic.",Urgent Need for Improved Mental Health Care and a More Collaborative Model of Care
dem,dem|20200503-assemblywoman-quirk-silva-returns-state-capitol-tackle-budget-and.txt|3|10.4103/0019-5545.49447,silent,silent,"Legislative efforts are being made to address homelessness, mental health, and education during the pandemic.",Promotion and prevention in child mental health
dem,dem|20200503-assemblywoman-quirk-silva-returns-state-capitol-tackle-budget-and.txt|3|https://openalex.org/W2991952346,silent,silent,"Legislative efforts are being made to address homelessness, mental health, and education during the pandemic.",Downward Spiral: Homelessness and Its Criminalization
dem,dem|20200611-california-assembly-approves-bill-assemblywoman-rubio-reduce-activity.txt|1|10.1093/rfs/hhz015,silent,silent,The illegal cannabis market accounts for as much as 80% of cannabis sales.,"Sex, Drugs, and Bitcoin: How Much Illegal Activity Is Financed through Cryptocurrencies?"
dem,dem|20200611-california-assembly-approves-bill-assemblywoman-rubio-reduce-activity.txt|1|10.1002/wps.20735,silent,silent,The illegal cannabis market accounts for as much as 80% of cannabis sales.,Assessing the public health impacts of legalizing recreational cannabis use: the US experience
dem,dem|20200611-california-assembly-approves-bill-assemblywoman-rubio-reduce-activity.txt|1|10.3768/rtipress.2016.op.0035.1611,silent,refute,The illegal cannabis market accounts for as much as 80% of cannabis sales.,Tasty THC: Promises and Challenges of Cannabis Edibles
dem,dem|20200611-california-assembly-approves-bill-assemblywoman-rubio-reduce-activity.txt|1|10.1093/jcr/ucaa061,silent,silent,The illegal cannabis market accounts for as much as 80% of cannabis sales.,The Politicization of Objects: Meaning and Materiality in The U.S. Cannabis Market
dem,dem|20200611-california-assembly-approves-bill-assemblywoman-rubio-reduce-activity.txt|1|10.1002/cpt.110,silent,silent,The illegal cannabis market accounts for as much as 80% of cannabis sales.,Assessing the public health impacts of legalizing recreational cannabis use in the USA
dem,dem|20210302-students-tell-legislators-about-crushing-total-cost-college.txt|3|10.1002/wps.21160,silent,silent,"Students' needs for food, housing, and mental health care are crucial for their success in higher education.","The social determinants of mental health and disorder: evidence, prevention and recommendations"
dem,dem|20210302-students-tell-legislators-about-crushing-total-cost-college.txt|3|10.1016/s0140-6736(11)60054-8,silent,silent,"Students' needs for food, housing, and mental health care are crucial for their success in higher education.","The Brazilian health system: history, advances, and challenges"
dem,dem|20210302-students-tell-legislators-about-crushing-total-cost-college.txt|3|10.1146/annurev-publhealth-052620-103528,silent,silent,"Students' needs for food, housing, and mental health care are crucial for their success in higher education.",Eliminating Explicit and Implicit Biases in Health Care: Evidence and Research Needs
dem,dem|20210302-students-tell-legislators-about-crushing-total-cost-college.txt|3|10.1097/acm.0000000000001294,silent,silent,"Students' needs for food, housing, and mental health care are crucial for their success in higher education.",Structural Vulnerability: Operationalizing the Concept to Address Health Disparities in Clinical Care
dem,dem|20210302-students-tell-legislators-about-crushing-total-cost-college.txt|3|10.1186/1746-6148-9-223,silent,silent,"Students' needs for food, housing, and mental health care are crucial for their success in higher education.","Wildlife health investigations: needs, challenges and recommendations"
dem,dem|20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt|1|10.48550/arxiv.1506.01497,silent,silent,"A good quality e-bike can cost between $600 and $10,000.",Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks
dem,dem|20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt|1|10.1007/s12544-017-0272-6,silent,silent,"A good quality e-bike can cost between $600 and $10,000.",Simulation of B2C e-commerce distribution in Antwerp using cargo bikes and delivery points
dem,dem|20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt|1|10.1609/aaai.v29i1.9245,silent,silent,"A good quality e-bike can cost between $600 and $10,000.",Data Analysis and Optimization for (Citi)Bike Sharing
dem,dem|20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt|1|10.3390/s18020512,silent,silent,"A good quality e-bike can cost between $600 and $10,000.",A Dynamic Approach to Rebalancing Bike-Sharing Systems
dem,dem|20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt|1|10.1007/s10100-016-0441-z,silent,silent,"A good quality e-bike can cost between $600 and $10,000.",Synchronizing vans and cargo bikes in a city distribution network
dem,dem|20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt|3|10.1016/j.erss.2017.02.014,silent,silent,"Electric bikes can accomplish almost all of the trips that electric cars can, including taking children to school and hauling heavy loads.","Experts, theories, and electric mobility transitions: Toward an integrated conceptual framework for the adoption of elec"
dem,dem|20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt|3|10.3389/fenrg.2021.817107,silent,silent,"Electric bikes can accomplish almost all of the trips that electric cars can, including taking children to school and hauling heavy loads.",RETRACTED: Factors Affecting Electric Bike Adoption: Seeking an Energy-Efficient Solution for the Post-COVID Era
dem,dem|20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt|3|10.1287/msom.2021.1023,silent,silent,"Electric bikes can accomplish almost all of the trips that electric cars can, including taking children to school and hauling heavy loads.","Urban Bike Lane Planning with Bike Trajectories: Models, Algorithms, and a Real-World Case Study"
dem,dem|20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt|3|10.3389/frobt.2016.00074,silent,silent,"Electric bikes can accomplish almost all of the trips that electric cars can, including taking children to school and hauling heavy loads.",Enhancing Our Lives with Immersive Virtual Reality
dem,dem|20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt|3|10.3390/en16062925,silent,refute,"Electric bikes can accomplish almost all of the trips that electric cars can, including taking children to school and hauling heavy loads.","Comprehensive Review of Recent Advancements in Battery Technology, Propulsion, Power Interfaces, and Vehicle Network Sys"
dem,dem|20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt|6|10.37419/lr.v1.i3.1,silent,silent,Eighty percent of vehicle trips in California are less than ten miles.,Automated Vehicles Are Probably Legal in the United States
dem,dem|20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt|6|10.19030/jbcs.v10i1.8324,silent,silent,Eighty percent of vehicle trips in California are less than ten miles.,The Google Car: Driving Toward A Better Future?
dem,dem|20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt|6|10.47893/gret.2021.1040,silent,silent,Eighty percent of vehicle trips in California are less than ten miles.,Battery Management System in Electric Vehicles
dem,dem|20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt|6|10.1017/s0023879100023384,silent,silent,Eighty percent of vehicle trips in California are less than ten miles.,"Mixtec Ethnicity: Social Identity, Political Consciousness, and Political Activism"
dem,dem|20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt|6|https://openalex.org/W16261577,silent,silent,Eighty percent of vehicle trips in California are less than ten miles.,Managing Autonomous Transportation Demand
dem,dem|20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt|10|10.1257/jel.20161360,silent,silent,There are equity gaps in California's current approach to incentivizing electric bike purchases.,Assessing the Energy-Efficiency Gap
dem,dem|20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt|10|10.1016/j.rser.2016.10.005,silent,silent,There are equity gaps in California's current approach to incentivizing electric bike purchases.,Modelling electric vehicles use: a survey on the methods
dem,dem|20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt|10|10.1146/annurev-resource-111820-022834,silent,silent,There are equity gaps in California's current approach to incentivizing electric bike purchases.,Evaluating Electric Vehicle Policy Effectiveness and Equity
dem,dem|20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt|10|10.1016/j.trd.2020.102628,silent,silent,There are equity gaps in California's current approach to incentivizing electric bike purchases.,Micromobility and public transport integration: The current state of knowledge
dem,dem|20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt|10|10.1038/s41467-020-18402-y,silent,silent,There are equity gaps in California's current approach to incentivizing electric bike purchases.,Assessment of lithium criticality in the global energy transition and addressing policy gaps in transportation
dem,dem|20210421-assemblymembers-muratsuchi-and-chius-bill-establish-toll-free-california.txt|5|10.5204/ijcjsd.v2i2.101,silent,silent,The California Department of Justice should serve as the central clearinghouse for hate crime reports to coordinate with local law enforcement.,"Girls, Crime and Violence: Toward a Feminist Theory of Female Violence"
dem,dem|20210421-assemblymembers-muratsuchi-and-chius-bill-establish-toll-free-california.txt|5|10.15453/0191-5096.2569,silent,refute,The California Department of Justice should serve as the central clearinghouse for hate crime reports to coordinate with local law enforcement.,Promoting Social Justice in Partnership with the Mass Media
dem,dem|20210421-assemblymembers-muratsuchi-and-chius-bill-establish-toll-free-california.txt|5|https://openalex.org/W2267846671,silent,silent,The California Department of Justice should serve as the central clearinghouse for hate crime reports to coordinate with local law enforcement.,Al Capone's Revenge: An Essay on the Political Economy of Pretextual Prosecution
dem,dem|20210421-assemblymembers-muratsuchi-and-chius-bill-establish-toll-free-california.txt|5|10.1353/ams.0.0007,silent,silent,The California Department of Justice should serve as the central clearinghouse for hate crime reports to coordinate with local law enforcement.,"From White Supremacy to White Power: The FBI, COINTELPRO-WHITE HATE, and the Nazification of the Ku Klux Klan in the 197"
dem,dem|20210421-assemblymembers-muratsuchi-and-chius-bill-establish-toll-free-california.txt|5|https://openalex.org/W1509813682,silent,silent,The California Department of Justice should serve as the central clearinghouse for hate crime reports to coordinate with local law enforcement.,Fighting Cyber-Crime After United States v. Jones
dem,dem|20210601-amid-rising-violence-state-assembly-passes-legislation-strengthen-hate.txt|3|10.1177/0170840611407018,support,silent,"Law enforcement agencies in California routinely fail to adequately identify, report, or respond to hate crimes.","Identities, Discipline and Routines"
dem,dem|20210601-amid-rising-violence-state-assembly-passes-legislation-strengthen-hate.txt|3|10.1038/35057062,silent,silent,"Law enforcement agencies in California routinely fail to adequately identify, report, or respond to hate crimes.",Initial sequencing and analysis of the human genome
