party,uid,nli_deberta,nli_bart,llm:Qwen/Qwen2.5-3B-Instruct,llm:microsoft/Phi-3.5-mini-instruct,llm:allenai/OLMo-2-1124-7B-Instruct,claim,title
dem,dem|20180921-assemblymember-cecilia-aguiar-currys-wildfire-recovery-bill-package-signed.txt|15|10.1126/sciadv.ade9012,silent,silent,support,support,support,Californians are at unprecedented risk of wildfire disaster due to the current state of the forests.,"Fire, other ravages jeopardize California's prized forests"
dem,dem|20190131-assemblymember-cecilia-aguiar-curry-introduces-bill-expand-grants-and.txt|6|10.1016/j.jamda.2023.09.013,silent,refute,silent,support,support,"AB 324 aims to ensure that stipend amounts are sufficient to recruit and retain a high-quality, diverse childcare education workforce.",Investing in the Direct Care Workforce: Lessons From the CalGrows Training and Stipend Initiative
dem,dem|20190131-assemblymember-cecilia-aguiar-curry-introduces-bill-expand-grants-and.txt|6|https://www.mdrc.org/work/publications/child-care-and-early-education-workforce-recruitment-and-retention,silent,refute,silent,silent,silent,"AB 324 aims to ensure that stipend amounts are sufficient to recruit and retain a high-quality, diverse childcare education workforce.",Child Care and Early Education Workforce Recruitment and Retention: Insights from a Current Landscape of Strategies
dem,dem|20190131-assemblymember-cecilia-aguiar-curry-introduces-bill-expand-grants-and.txt|6|https://scholarsjunction.msstate.edu/endeavors/vol1/iss1/8,silent,silent,silent,support,silent,"AB 324 aims to ensure that stipend amounts are sufficient to recruit and retain a high-quality, diverse childcare education workforce.","Addressing Economic Instability and Workforce Turnover in Early Childhood Education: The Role of Stipends, Wage Suppleme"
dem,dem|20190131-assemblymember-cecilia-aguiar-curry-introduces-bill-expand-grants-and.txt|6|https://direct.mit.edu/edfp/article/19/3/524/116701/Compensation-and-Staffing-Challenges-in-Child-Care,silent,silent,silent,support,support,"AB 324 aims to ensure that stipend amounts are sufficient to recruit and retain a high-quality, diverse childcare education workforce.",Staffing and Compensation Challenges in Child Care: Statewide Evidence from Pandemic Relief Applications
dem,dem|20190131-assemblymember-cecilia-aguiar-curry-introduces-bill-expand-grants-and.txt|6|https://www.americanprogress.org/article/the-child-care-sector-is-still-struggling-to-hire-workers/,silent,silent,silent,support,silent,"AB 324 aims to ensure that stipend amounts are sufficient to recruit and retain a high-quality, diverse childcare education workforce.",The Child Care Sector Is Still Struggling To Hire Workers
dem,dem|20190429-ramos-bill-strengthen-native-american-cultural-preservation-passes.txt|4|https://a45.asmdc.org/press-releases/20190429-ramos-bill-strengthen-native-american-cultural-preservation-passes,support,support,support,support,support,"The NAHC's current Five-Year Strategic Plan identified several areas for improvement, which AB 275 seeks to address.",Ramos Bill to Strengthen Native American Cultural Preservation Passes Committee
dem,dem|20190429-ramos-bill-strengthen-native-american-cultural-preservation-passes.txt|4|https://aart.assembly.ca.gov/sites/aart.assembly.ca.gov/files/AB%20275%20%28Ramos%29%20Analysis.pdf,support,support,support,support,support,"The NAHC's current Five-Year Strategic Plan identified several areas for improvement, which AB 275 seeks to address.",AB 275
dem,dem|20190429-ramos-bill-strengthen-native-american-cultural-preservation-passes.txt|4|https://nahc.ca.gov/wp-content/uploads/2023/04/2018-2022-Strategic-Plan.pdf,silent,silent,silent,support,support,"The NAHC's current Five-Year Strategic Plan identified several areas for improvement, which AB 275 seeks to address.",CALIFORNIA NATIVE AMERICAN HERITAGE COMMISSION FIVE-YEAR STRATEGIC PLAN 2018-2022
dem,dem|20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt|3|10.1136/jech-2013-202574,silent,silent,silent,support,support,Reducing state-associated costs with nursing home care is a potential outcome of AB 1128.,Cost effectiveness of home and community-based care
dem,dem|20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt|3|10.1002/alz.12345,support,silent,silent,support,support,Reducing state-associated costs with nursing home care is a potential outcome of AB 1128.,Projection of budgetary savings to US state Medicaid programs from reduced nursing home use due to an Alzheimer's diseas
dem,dem|20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt|3|10.2337/dc17-2028,silent,silent,silent,silent,silent,Reducing state-associated costs with nursing home care is a potential outcome of AB 1128.,Diabetes-Attributable Nursing Home Costs for Each U.S. State
dem,dem|20190703-release-bill-help-seniors-remain-their-homes-receives-unanimous-support.txt|3|10.1056/NEJMoa1104362,silent,silent,silent,silent,silent,Reducing state-associated costs with nursing home care is a potential outcome of AB 1128.,Comparative Cost Analysis of Housing and Case Management Program for Chronically Ill Homeless Adults Compared to Usual C
dem,dem|20190909-equal-pay-equal-play-bill-ab-467-signed-law.txt|3|https://www.equalrights.org/news/ten-years-later-californias-fair-pay-act-has-transformed-womens-wages-in-the-state-and-sparked-a-national-movement/,silent,silent,silent,support,support,The passing of AB 467 is a societal shift toward equity and progress.,"Ten Years Later, California’s Fair Pay Act Has Transformed Women’s Wages in the State and Sparked a National Movement"
dem,dem|20190909-equal-pay-equal-play-bill-ab-467-signed-law.txt|3|https://calbudgetcenter.org/resources/disrupting-disparities-ending-the-black-women-wage-gap-in-california/,silent,silent,silent,support,support,The passing of AB 467 is a societal shift toward equity and progress.,Disrupting Disparities: Ending the Black Women Wage Gap in California
dem,dem|20190909-equal-pay-equal-play-bill-ab-467-signed-law.txt|3|https://sd21.senate.ca.gov/news/2025/september/california-continues-lead-nation-passage-pay-equity-enforcement-act,silent,silent,support,support,support,The passing of AB 467 is a societal shift toward equity and progress.,California Continues to Lead the Nation with Passage of the Pay Equity Enforcement Act
dem,dem|20190909-equal-pay-equal-play-bill-ab-467-signed-law.txt|3|https://dlab.berkeley.edu/news/minding-gaps-pay-equity-california,silent,silent,silent,support,silent,The passing of AB 467 is a societal shift toward equity and progress.,Minding the Gaps: Pay Equity in California
dem,dem|20190909-equal-pay-equal-play-bill-ab-467-signed-law.txt|3|https://www.gov.ca.gov/2025/10/08/governor-first-partner-mark-latina-equal-pay-day-sign-pay-equity-enforcement-act/,silent,silent,silent,support,support,The passing of AB 467 is a societal shift toward equity and progress.,"Governor, First Partner mark Latina Equal Pay Day, sign Pay Equity Enforcement Act"
dem,dem|20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt|11|https://pharmacy.ca.gov/about/disaster_policy.pdf,refute,refute,silent,silent,silent,Pharmacists whose businesses are destroyed during a disaster currently must completely re-apply for a pharmacy license to reopen.,Board Policy Statement: Disaster Response
dem,dem|20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt|11|https://www.pharmacy.ca.gov/licensees/emergency_declaration.shtml,refute,refute,silent,silent,silent,Pharmacists whose businesses are destroyed during a disaster currently must completely re-apply for a pharmacy license to reopen.,All Pharmacy Law Waivers
dem,dem|20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt|11|https://solid.dca.ca.gov/consumers/disaster_help_center.shtml,silent,silent,silent,silent,silent,Pharmacists whose businesses are destroyed during a disaster currently must completely re-apply for a pharmacy license to reopen.,Disaster Help Center
dem,dem|20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt|11|https://www.mbc.ca.gov/News/Newsletter/2025-Vol170.aspx,refute,silent,silent,silent,silent,Pharmacists whose businesses are destroyed during a disaster currently must completely re-apply for a pharmacy license to reopen.,Newsletter Volume 170 | Medical Board of California
dem,dem|20191011-assemblymember-cecilia-aguiar-currys-bill-increase-access-pharmacy-care.txt|11|https://www.bpelsg.ca.gov/about_us/meetings/materials/20250918_meeting_materials.pdf,refute,refute,silent,support,silent,Pharmacists whose businesses are destroyed during a disaster currently must completely re-apply for a pharmacy license to reopen.,"Board of Professional Engineers, Land Surveyors, and Geologists Meeting Materials"
dem,dem|20200128-assemblymember-ash-kalra-introduces-bill-make-california-leader-protecting.txt|3|10.1038/s41586-019-1305-2,support,support,support,support,support,Tropical forests cover roughly seven percent of the Earth’s surface but harbor close to half of all species on Earth.,Global forest loss causes a biodiversity crisis
dem,dem|20200128-assemblymember-ash-kalra-introduces-bill-make-california-leader-protecting.txt|3|10.1016/j.biocon.2016.12.034,silent,silent,support,support,support,Tropical forests cover roughly seven percent of the Earth’s surface but harbor close to half of all species on Earth.,Tropical forests and biodiversity: A global overview
dem,dem|20200128-assemblymember-ash-kalra-introduces-bill-make-california-leader-protecting.txt|3|10.1073/pnas.2000159117,support,support,support,support,support,Tropical forests cover roughly seven percent of the Earth’s surface but harbor close to half of all species on Earth.,The role of tropical forests in biodiversity conservation
dem,dem|20200207-boerner-horvath-holds-hearing-identify-sea-level-rise-threats-san-francisco.txt|2|https://repository.library.noaa.gov/view/noaa/32384/noaa_32384_DS1.pdf,refute,support,silent,support,support,Sea level is expected to climb another 1 to 3.4 feet by 2100.,Our Globally
dem,dem|20200207-boerner-horvath-holds-hearing-identify-sea-level-rise-threats-san-francisco.txt|2|https://repository.library.noaa.gov/view/noaa/38090/noaa_38090_DS1.pdf,silent,silent,support,support,support,Sea level is expected to climb another 1 to 3.4 feet by 2100.,PROJECTED
dem,dem|20200207-boerner-horvath-holds-hearing-identify-sea-level-rise-threats-san-francisco.txt|2|https://nca2023.globalchange.gov/chapter/9/,silent,silent,silent,support,support,Sea level is expected to climb another 1 to 3.4 feet by 2100.,Coastal Effects
dem,dem|20200207-boerner-horvath-holds-hearing-identify-sea-level-rise-threats-san-francisco.txt|2|https://ntrs.nasa.gov/citations/20180001313,support,support,silent,support,support,Sea level is expected to climb another 1 to 3.4 feet by 2100.,Chapter 12: Sea Level Rise
dem,dem|20200207-boerner-horvath-holds-hearing-identify-sea-level-rise-threats-san-francisco.txt|2|https://nca2014.globalchange.gov/report/our-changing-climate/sea-level-rise,support,support,silent,support,support,Sea level is expected to climb another 1 to 3.4 feet by 2100.,Sea Level Rise
dem,dem|20200503-assemblywoman-quirk-silva-returns-state-capitol-tackle-budget-and.txt|3|10.1186/s12889-021-11687-8,silent,silent,silent,silent,silent,"Legislative efforts are being made to address homelessness, mental health, and education during the pandemic.","Homelessness during COVID-19: challenges, responses, and lessons learned from homeless service providers in Tippecanoe C"
dem,dem|20200503-assemblywoman-quirk-silva-returns-state-capitol-tackle-budget-and.txt|3|10.1001/jamanetworkopen.2022.23891,silent,silent,silent,support,silent,"Legislative efforts are being made to address homelessness, mental health, and education during the pandemic.",Association of Shelter-in-Place Hotels With Health Services Use Among People Experiencing Homelessness During the COVID-
dem,dem|20200503-assemblywoman-quirk-silva-returns-state-capitol-tackle-budget-and.txt|3|10.1186/s12889-019-7856-0,silent,silent,silent,support,silent,"Legislative efforts are being made to address homelessness, mental health, and education during the pandemic.","The impact of interventions for youth experiencing homelessness on housing, mental health, substance use, and family coh"
dem,dem|20200503-assemblywoman-quirk-silva-returns-state-capitol-tackle-budget-and.txt|3|10.3390/ijerph191912120,silent,silent,silent,support,silent,"Legislative efforts are being made to address homelessness, mental health, and education during the pandemic.","Impact of Social Isolation during the COVID-19 Pandemic on Mental Health, Substance Use, and Homelessness: Qualitative I"
dem,dem|20200503-assemblywoman-quirk-silva-returns-state-capitol-tackle-budget-and.txt|3|10.3390/ijerph19063219,silent,silent,silent,support,silent,"Legislative efforts are being made to address homelessness, mental health, and education during the pandemic.",A Scoping Review of the Health Impact of the COVID-19 Pandemic on Persons Experiencing Homelessness in North America and
dem,dem|20210302-students-tell-legislators-about-crushing-total-cost-college.txt|3|10.1186/s12889-023-16184-8,silent,silent,support,support,support,"Students' needs for food, housing, and mental health care are crucial for their success in higher education.",Exploring the effects of health behaviors and mental health on students’ academic achievement: a cross-sectional study o
dem,dem|20210302-students-tell-legislators-about-crushing-total-cost-college.txt|3|10.1080/07448481.2021.1990190,silent,silent,support,support,support,"Students' needs for food, housing, and mental health care are crucial for their success in higher education.","Food Insecurity, Well-being, and Academic Success among College Students: Implications for Post COVID-19 Pandemic Progra"
dem,dem|20210302-students-tell-legislators-about-crushing-total-cost-college.txt|3|10.1080/07448481.2022.2040190,silent,silent,silent,support,support,"Students' needs for food, housing, and mental health care are crucial for their success in higher education.",Exploring housing insecurity in relation to student success
dem,dem|20210302-students-tell-legislators-about-crushing-total-cost-college.txt|3|10.1017/jch.2021.45,silent,silent,silent,support,support,"Students' needs for food, housing, and mental health care are crucial for their success in higher education.",College student sleep quality and mental and physical health are associated with food insecurity in a multi-campus study
dem,dem|20210302-students-tell-legislators-about-crushing-total-cost-college.txt|3|10.1186/s12889-019-6943-6,silent,silent,silent,support,support,"Students' needs for food, housing, and mental health care are crucial for their success in higher education.",Prevalence and correlates of food insecurity among U.S. college students: a multi-institutional study
dem,dem|20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt|1|https://arxiv.org/abs/2104.10155,silent,silent,silent,silent,silent,"A good quality e-bike can cost between $600 and $10,000.",Optimal Design of Electric Micromobility Vehicles
dem,dem|20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt|1|https://arxiv.org/abs/1402.4869,silent,silent,silent,silent,silent,"A good quality e-bike can cost between $600 and $10,000.",The Impact of Cost and Network Topology on Urban Mobility: A Study of Public Bicycle Usage in 2 U.S. Cities
dem,dem|20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt|3|10.1080/15568318.2021.1914787,silent,silent,support,support,support,"Electric bikes can accomplish almost all of the trips that electric cars can, including taking children to school and hauling heavy loads.",Electric Bicycles and Cargo Bikes—Tools for Parents To Keep On Biking in Auto-Centric Communities? Findings From a US Me
dem,dem|20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt|3|https://www.ukri.org/news/e-cargo-bikes-can-replace-car-trips-and-reshape-family-travel/,silent,silent,support,support,support,"Electric bikes can accomplish almost all of the trips that electric cars can, including taking children to school and hauling heavy loads.",E-cargo bikes can replace car trips and reshape family travel
dem,dem|20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt|3|https://www.cyclingelectric.com/buyers-guides/do-i-need-a-cargo-bike-to-transport-kids,silent,silent,silent,support,support,"Electric bikes can accomplish almost all of the trips that electric cars can, including taking children to school and hauling heavy loads.",Transporting kids by e-bike
dem,dem|20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt|3|https://ncst.ucdavis.edu/project/understanding-factors-lead-electric-bicycles-bay-area-users-children,silent,silent,silent,silent,support,"Electric bikes can accomplish almost all of the trips that electric cars can, including taking children to school and hauling heavy loads.",Understanding Factors That Lead to Electric Bicycles for Bay Area Users with Children
dem,dem|20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt|3|10.1136/bmjopen-2023-073456,silent,silent,silent,support,support,"Electric bikes can accomplish almost all of the trips that electric cars can, including taking children to school and hauling heavy loads.",Physical activity when riding an electric-assisted bicycle with and without cargo
dem,dem|20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt|6|10.3390/eng13010228,silent,refute,silent,support,silent,Eighty percent of vehicle trips in California are less than ten miles.,Using Connected Vehicle Data to Evaluate National Trip Trends
dem,dem|20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt|6|https://www.fhwa.dot.gov/policyinformation/pubs/hf/pl11028/chapter4.cfm,silent,silent,refute,support,silent,Eighty percent of vehicle trips in California are less than ten miles.,Vehicle Trips and Mileage by Trip Length
dem,dem|20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt|6|10.1007/s11116-022-10256-0,silent,silent,silent,silent,silent,Eighty percent of vehicle trips in California are less than ten miles.,Vehicle access and falling transit ridership: evidence from Southern California
dem,dem|20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt|6|https://rosap.ntl.bts.gov/view/dot/79586,silent,silent,silent,silent,silent,Eighty percent of vehicle trips in California are less than ten miles.,"Revisiting Average Trip Length Defaults and Adjustment Factors for Quantifying VMT Reductions from Car Share, Bike Share"
dem,dem|20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt|10|https://carbstage.arb.ca.gov/our-work/programs/california-e-bike-incentive-project,silent,silent,silent,support,support,There are equity gaps in California's current approach to incentivizing electric bike purchases.,California E-Bike Incentive Project
dem,dem|20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt|10|https://www.calbike.org/bike_purchase_incentives/,silent,silent,silent,support,silent,There are equity gaps in California's current approach to incentivizing electric bike purchases.,E-Bike Purchase Incentives
dem,dem|20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt|10|https://www.ebikeincentives.org/faq/,silent,silent,silent,support,silent,There are equity gaps in California's current approach to incentivizing electric bike purchases.,General FAQ's - California E-Bike Incentive Project
dem,dem|20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt|10|https://www.ebikeincentives.org/retailer-faq/,silent,silent,silent,support,silent,There are equity gaps in California's current approach to incentivizing electric bike purchases.,Retailer FAQs - California E-Bike Incentive Project
dem,dem|20210405-boerner-horvaths-bill-incentivize-electric-bicycle-purchases-passes.txt|10|https://carbstage.arb.ca.gov/news/e-bike-program-will-give-1000-californians-vouchers-purchase-electric-bikes-may-29,silent,silent,silent,silent,silent,There are equity gaps in California's current approach to incentivizing electric bike purchases.,"E-bike program will give 1,000 Californians vouchers to purchase electric bikes on May 29"
dem,dem|20210421-assemblymembers-muratsuchi-and-chius-bill-establish-toll-free-california.txt|5|https://www.ojp.gov/ncjrs/virtual-library/abstracts/hate-crime-california-2011,silent,silent,silent,silent,silent,The California Department of Justice should serve as the central clearinghouse for hate crime reports to coordinate with local law enforcement.,"Hate Crime in California, 2011"
dem,dem|20210421-assemblymembers-muratsuchi-and-chius-bill-establish-toll-free-california.txt|5|https://www.ojp.gov/ncjrs/virtual-library/abstracts/reporting-hate-crimes-final-report,silent,silent,silent,support,silent,The California Department of Justice should serve as the central clearinghouse for hate crime reports to coordinate with local law enforcement.,"Reporting Hate Crimes, Final Report"
dem,dem|20210421-assemblymembers-muratsuchi-and-chius-bill-establish-toll-free-california.txt|5|https://oag.ca.gov/new-press-categories/open-justice,silent,silent,silent,silent,silent,The California Department of Justice should serve as the central clearinghouse for hate crime reports to coordinate with local law enforcement.,2022 Hate Crime in California Report
dem,dem|20210421-assemblymembers-muratsuchi-and-chius-bill-establish-toll-free-california.txt|5|https://oag.ca.gov/care/community-briefings,silent,silent,silent,silent,silent,The California Department of Justice should serve as the central clearinghouse for hate crime reports to coordinate with local law enforcement.,2024 Hate Crime Report
dem,dem|20210601-amid-rising-violence-state-assembly-passes-legislation-strengthen-hate.txt|3|10.1177/1462474513482655,silent,silent,support,support,support,"Law enforcement agencies in California routinely fail to adequately identify, report, or respond to hate crimes.",Police Responses to Hate Crimes: A Review of the Literature
dem,dem|20210601-amid-rising-violence-state-assembly-passes-legislation-strengthen-hate.txt|3|10.1037/tra0000041,silent,silent,silent,support,refute,"Law enforcement agencies in California routinely fail to adequately identify, report, or respond to hate crimes.",The Role of Police in Addressing Hate Crimes
dem,dem|20210601-amid-rising-violence-state-assembly-passes-legislation-strengthen-hate.txt|3|10.1016/j.jcrimjus.2017.09.001,silent,silent,silent,support,refute,"Law enforcement agencies in California routinely fail to adequately identify, report, or respond to hate crimes.",An Analysis of Hate Crime Reporting in the United States
dem,dem|20210601-amid-rising-violence-state-assembly-passes-legislation-strengthen-hate.txt|3|10.1177/0002716217699142,silent,silent,silent,support,refute,"Law enforcement agencies in California routinely fail to adequately identify, report, or respond to hate crimes.",Understanding Law Enforcement’s Response to Hate Crimes: Impacts on Victims and Communities
dem,dem|20210601-amid-rising-violence-state-assembly-passes-legislation-strengthen-hate.txt|3|10.1111/jonm.12264,silent,silent,silent,support,support,"Law enforcement agencies in California routinely fail to adequately identify, report, or respond to hate crimes.",Police as a Social Control Mechanism: An Examination of Hate Crimes
dem,dem|20210601-farmworker-wildfire-smoke-protections-act-voted-out-state-assembly.txt|4|https://www.dir.ca.gov/DIRNews/2025/2025-64.html,silent,silent,silent,support,silent,Cal/OSHA strike teams will be deployed to ensure employers are in compliance with Cal/OSHA regulations during major unhealthy air quality events.,"Cal/OSHA urges employers to protect workers from smoke due to the Wolf, Juniper, and Lake Fires"
dem,dem|20210601-farmworker-wildfire-smoke-protections-act-voted-out-state-assembly.txt|4|https://www.dir.ca.gov/DIRNews/2025/2025-89.html,silent,silent,silent,support,silent,Cal/OSHA strike teams will be deployed to ensure employers are in compliance with Cal/OSHA regulations during major unhealthy air quality events.,"Cal/OSHA warns of unhealthy air from wildfires, urges steps to safeguard workers"
dem,dem|20210601-farmworker-wildfire-smoke-protections-act-voted-out-state-assembly.txt|4|https://www.dir.ca.gov/wildfire-smoke/worker-protection-requirements.html,silent,silent,silent,support,silent,Cal/OSHA strike teams will be deployed to ensure employers are in compliance with Cal/OSHA regulations during major unhealthy air quality events.,Requirements to Protect Workers
dem,dem|20210601-farmworker-wildfire-smoke-protections-act-voted-out-state-assembly.txt|4|https://www.nixonpeabody.com/insights/alerts/2025/01/22/wildfire-smoke-protection-measures-required-by-cal-osha,silent,silent,silent,support,silent,Cal/OSHA strike teams will be deployed to ensure employers are in compliance with Cal/OSHA regulations during major unhealthy air quality events.,Wildfire smoke protection measures required by Cal/OSHA
dem,dem|20210601-farmworker-wildfire-smoke-protections-act-voted-out-state-assembly.txt|4|https://www.law.cornell.edu/regulations/california/8-CCR-5141.1,silent,silent,silent,support,silent,Cal/OSHA strike teams will be deployed to ensure employers are in compliance with Cal/OSHA regulations during major unhealthy air quality events.,"Cal. Code Regs. Tit. 8, § 5141.1 - Protection from Wildfire Smoke"
dem,dem|20210826-release-legislation-close-dangerous-ghost-gun-loophole-passes-out-key.txt|7|https://amgoa.org/gun-law-texts/California/2021/AB1057-Amended-2021-06-21.html,silent,silent,silent,silent,silent,AB 1057 ensures that known dangers cannot possess precursor parts that can be converted into functional firearms.,Assembly Bill No. 1057
dem,dem|20210826-release-legislation-close-dangerous-ghost-gun-loophole-passes-out-key.txt|7|https://oag.ca.gov/system/files/media/bof-reg-rev-fpp-id-guidebook-8-22.pdf,silent,refute,silent,silent,silent,AB 1057 ensures that known dangers cannot possess precursor parts that can be converted into functional firearms.,Firearm Precursor Part Identification Guidebook
dem,dem|20210826-release-legislation-close-dangerous-ghost-gun-loophole-passes-out-key.txt|7|https://oag.ca.gov/firearms/regs/revised-fpp,silent,refute,silent,silent,silent,AB 1057 ensures that known dangers cannot possess precursor parts that can be converted into functional firearms.,Revised Firearm Precursor Part Definitions and Guidebook
dem,dem|20210826-release-legislation-close-dangerous-ghost-gun-loophole-passes-out-key.txt|10|10.1186/s12889-023-16043-6,silent,silent,support,support,support,California's Gun Violence Restraining Order (GVRO) law has received broad bipartisan support.,The origins of California’s gun violence restraining order law: a case study using Kingdon’s multiple streams framework
dem,dem|20210826-release-legislation-close-dangerous-ghost-gun-loophole-passes-out-key.txt|10|10.1001/jamanetworkopen.2022.4216,silent,silent,silent,refute,silent,California's Gun Violence Restraining Order (GVRO) law has received broad bipartisan support.,Firearm Violence Following the Implementation of California’s Gun Violence Restraining Order Law
dem,dem|20210826-release-legislation-close-dangerous-ghost-gun-loophole-passes-out-key.txt|10|10.1371/journal.pone.0258547,support,support,support,support,support,California's Gun Violence Restraining Order (GVRO) law has received broad bipartisan support.,Implementation and perceived effectiveness of gun violence restraining orders in California: A qualitative evaluation
dem,dem|20220721-bennett-limon-bill-restrict-gun-sales-ventura-county-fairground-signed.txt|5|10.1056/NEJMp2203700,silent,silent,support,support,silent,Firearm-related deaths are now the leading cause of death for children ages 1 to 19.,Firearm-Related Injuries and Deaths in Children and Youth
dem,dem|20220907-assemblymember-alex-lee-announces-additional-138-million-secured-fund-local.txt|8|https://www.fremont.gov/Home/Components/News/News/764/,support,support,support,support,support,The Fremont Housing Navigation Center opened in 2020 to support unhoused residents.,City of Fremont Announces Opening of Housing Navigation Center for Homeless Individuals
dem,dem|20220907-assemblymember-alex-lee-announces-additional-138-million-secured-fund-local.txt|8|https://content.govdelivery.com/landing_pages/23141/ce14ebdfff8bc182c5a12c441818bd47,silent,silent,support,support,support,The Fremont Housing Navigation Center opened in 2020 to support unhoused residents.,Fremont Housing Navigation Center Shares Successful Six-Month Update
dem,dem|20220907-assemblymember-alex-lee-announces-additional-138-million-secured-fund-local.txt|8|https://www.fremont.gov/Home/Components/News/News/402/,refute,silent,support,support,support,The Fremont Housing Navigation Center opened in 2020 to support unhoused residents.,Fremont Housing Navigation Center Shares Successful Second Year Update
