source,filename,document_date,sentence_index,matched_ai_terms,urls,dois,arxiv,sentence_text
Democratic Assembly,20210115-assemblymember-kalra-announces-new-california-racial-justice-act-all.txt,"January 1, 2021",47,bias,,,,"Many incarcerated Californians have had their convictions and sentences upheld despite blatantly racist statements by attorneys, judges, jurors, and expert witnesses, the exclusion of all, or nearly all, Black or Latino people from serving on a jury, and stark statistical evidence showing systemic bias in charging and sentencing."
Democratic Assembly,20210202-assemblymember-bauer-kahan-and-lieutenant-governor-kounalakis-introduce.txt,,7,bias,,,,“Current language in our law that assumes our Governor or our constitutional officers could only ever be a “he” plays into the sexist bias that we in California have been fighting” said Assemblymember Bauer-Kahan.
Democratic Assembly,20210217-court-employees-would-be-first-state-workers-get-paid-holiday-california.txt,,7,fairness,,,,"“The Judicial Council of California and its chair, Chief Justice Tani Cantil-Sakauye, are committed to providing equal access and fairness in our justice system,” said"
Democratic Assembly,20210219-assemblymember-alex-lee-introduces-bill-equally-protect-students-toxic.txt,,16,risk assessment,,,,"A health risk assessment is done that determines that there are no significant pollution sources, and the health risks will not endanger the public health (or that corrective measures will be undertaken to mitigate hazardous emissions)."
Democratic Assembly,20210219-assemblymember-rubio-introduces-bill-end-early-learning-suspensions-and.txt,,11,bias,,,,“Our Black children deserve an opportunity to receive a high-quality foundation to learning free of bias.
Democratic Assembly,20210315-dr-irene-pinkard-named-assembly-district-44-woman-year.txt,,30,bias,,,,"Pinkard works as a consultant who conducts self-improvement, career development, stress management, social emotional development, complicit bias/race relations, conflict resolution and motivational workshops/seminars for organizations, youth, educational institutions, and community groups."
Democratic Assembly,20210319-ramos-introduces-bill-package-save-small-business-jobs-0.txt,"March 4, 2020",37,fairness,,,,AB 1571 (Regulatory Fairness):
Democratic Assembly,20210319-ramos-introduces-bill-package-save-small-business-jobs.txt,"March 4, 2020",37,fairness,,,,AB 1571 (Regulatory Fairness):
Democratic Assembly,20210323-ab-855-ramos-bill-honor-california-native-americans-paid-holiday-advances.txt,,5,fairness,,,,"“The Judicial Council of California and its chair, Chief Justice Tani Cantil-Sakauye, are committed to providing equal access and fairness in our justice system,” said"
Democratic Assembly,20210323-california-racial-justice-act-all-passes-first-legislative-committee.txt,,0,bias,,,,The legislation challenging racial bias in court cases would ensure the recently-signed Racial Justice Act can be applied retroactively for all Californians
Democratic Assembly,20210323-california-racial-justice-act-all-passes-first-legislative-committee.txt,,1,bias,,,,"SACRAMENTO – Today, Assemblymember Ash Kalra (D-San Jose) applauds the Assembly Public Safety Committee for passing the California Racial Justice Act for All, AB 256, which will extend civil rights protections in California courts to all people charged or convicted of a crime using racial bias."
Democratic Assembly,20210323-california-racial-justice-act-all-passes-first-legislative-committee.txt,,8,bias,,,,"While AB 2542 (Kalra, Chapter 317, Statutes of 2020) made it possible for a person charged or convicted of a crime to challenge racial bias in their case, it excluded judgments rendered prior to Jan."
Democratic Assembly,20210323-california-racial-justice-act-all-passes-first-legislative-committee.txt,,13,bias,,,,"The committee’s decision today has the authority to give him and so many others a chance at a fair trial without racial discrimination, bias, or misrepresenation by making the Racial Justice Act retroactive.”"
Democratic Assembly,20210323-california-racial-justice-act-all-passes-first-legislative-committee.txt,,14,bias,,,,"Many incarcerated Californians have had their convictions and sentences upheld despite blatantly racist statements by attorneys, judges, jurors, and expert witnesses, the exclusion of all, or nearly all, Black or Latino people from serving on a jury, and stark statistical evidence showing systemic bias in charging and sentencing."
Democratic Assembly,20210323-california-racial-justice-act-all-passes-first-legislative-committee.txt,,23,bias,,,,"We’ve held families' hands and wiped tears when verdicts came down which were clear examples of racial bias,” said Cecilia Chavez, Organizer with Silicon Valley De-Bug."
Democratic Assembly,20210323-california-racial-justice-act-all-passes-first-legislative-committee.txt,,29,bias,,,,The McCleskey decision has the functional effect of requiring that criminal defendants prove intentional discrimination when challenging racial bias in their legal process.
Democratic Assembly,20210323-california-racial-justice-act-all-passes-first-legislative-committee.txt,,30,bias,,,,"This unreasonably high standard is almost impossible to meet without direct proof that the racially discriminatory behavior was conscious, deliberate, and targeted, thereby hindering legal means for a person to remedy racial bias in their case."
Democratic Assembly,20210323-california-racial-justice-act-all-passes-first-legislative-committee.txt,,31,bias,,,,"The Court’s majority, however, also observed that State Legislatures concerned about racial bias in the criminal justice system could act to address it."
Democratic Assembly,20210329-california-legislators-introduce-bipartisan-effort-hold-social-media.txt,,22,artificial intelligence,,,,"AB 587 also would require quarterly reports disclosing key metrics and data regarding such content, including the number of pieces of content, groups, and users flagged for violation; the method of flagging (e.g., human reviewers, artificial intelligence, etc.); the number of actions; and they type and content of action flagged."
Democratic Assembly,20210329-california-legislators-introduce-bipartisan-effort-hold-social-media.txt,,27,algorithms,,,,"“Social media platforms—and their algorithms—are inciting and amplifying hate, racism, and misinformation."
Democratic Assembly,20210406-legislation-establish-statewide-eviction-defense-program-vulnerable-renters.txt,,5,fairness,,,,"It builds upon an approach that has been proven to protect vulnerable communities, reduce homelessness, save taxpayer resources, and improve the fairness and efficiency of our judicial system.”"
Democratic Assembly,20210408-boerner-horvaths-bill-restore-fairness-uc-admissions-passes-assembly-higher.txt,,1,fairness,,,,"— Today, AB 233, Assemblymember Boerner Horvath’s bill to reform UC Admissions practices to restore fairness and prevent influence by the wealthy and well-connected, passed the Assembly Higher Education Committee on a unanimous, bipartisan 12-0 vote."
Democratic Assembly,20210414-day-honor-california-native-americans-will-move-assembly-floor.txt,,13,fairness,,,,"“The Judicial Council of California and its chair, Chief Justice Tani Cantil-Sakauye, are committed to providing equal access and fairness in our justice system,” said"
Democratic Assembly,20210422-boerner-horvaths-bill-promote-safe-efficient-biking-passes-assembly.txt,,24,bias,,,,"“Given that people of color can be disproportionately targeted for traffic stops, allowing Idaho stops also removes a potential for bias in traffic enforcement."
Democratic Assembly,20210514-statement-assemblywoman-cottie-petrie-norris-governors-proposed-budget-may.txt,"June 15, 2021",19,automation,,,,"As budget negotiations continue, I would like to see more detailed, action-oriented plans to fix customer service, modernize call centers, increase claims automation and implement stronger safeguards to combat fraud."
Democratic Assembly,20210528-building-nationwide-momentum-california-assembly-approves-legislation.txt,,5,fairness,,,,"It builds upon an approach that has been proven to protect vulnerable communities, reduce homelessness, save taxpayer resources, and improve the fairness and efficiency of our judicial system.”"
Democratic Assembly,20210601-assemblymember-arambulas-ab-4-health-all-clears-assembly-floor-and-now.txt,,14,fairness,,,,"“I am grateful for the Assembly’s support and that my colleagues recognize that all people should be treated with dignity, respect, and fairness,” he said after the vote."
Democratic Assembly,20210601-boerner-horvaths-bill-restore-fairness-uc-admissions-passes-assembly.txt,,1,fairness,,,,"—  Today, AB 233, Assemblymember Boerner Horvath’s bill to reform UC Admissions practices to restore fairness and prevent influence by the wealthy and well-connected, passed the Assembly on a bipartisan 70-1 vote."
Democratic Assembly,20210601-boerner-horvaths-bill-restore-fairness-uc-admissions-passes-assembly.txt,,4,fairness,,,,"“We have to ensure that admissions protocols at our UC schools honor the principals of fairness that we all believe in,” said Assemblymember Boerner Horvath."
Democratic Assembly,20210603-bipartisan-measure-hold-social-media-companies-accountable-online-hate-and.txt,,16,artificial intelligence,,,,"AB 587 also would require quarterly reports disclosing key metrics and data regarding such content, including the number of pieces of content, groups, and users flagged for violation; the method of flagging (e.g., human reviewers, artificial intelligence, etc.); the number of actions; and the type and content of action flagged."
Democratic Assembly,20210615-california-legislature-allocates-120-million-fund-eviction-defense-services.txt,,7,fairness,,,,"Among other benefits, legal aid programs have been proven to protect vulnerable communities, reduce homelessness, save taxpayer resources, and improve the fairness and efficiency of our judicial system.”"
Democratic Assembly,20210715-we-got-1565-million-stop-aapi-hate-historic-investments-education.txt,,12,bias,,,,"$10 million will provide support to Stop AAPI Hate to track, respond, and prevent incidents of racial bias and harm;"
Democratic Assembly,20210715-we-got-1565-million-stop-aapi-hate-historic-investments-education.txt,,14,bias,,,,$10 million will go to anti-bias block grant to provide funding to schools to create restorative justice programs to address hate and macroaggressions early;
Democratic Assembly,20210827-assemblymember-ash-kalra-releases-statement-racial-justice-act-all-ab-256.txt,"August 27, 2021",5,bias,,,,Justice to those with past convictions and sentences tainted by racial bias while delayed today will not be left behind and I will continue to do the hard work to root out racism in our criminal justice system.
Democratic Assembly,20210827-assemblymember-ash-kalra-releases-statement-racial-justice-act-all-ab-256.txt,"August 27, 2021",8,bias,,,,"While AB 2542 (Kalra, Chapter 317, Statutes of 2020) made it possible for a person charged or convicted of a crime to challenge racial bias in their case, it excluded judgments rendered prior to Jan."
Democratic Assembly,20210902-boerner-horvaths-bill-restore-fairness-uc-admissions-passes-senate.txt,,6,fairness,,,,"“Public service is central to the mission of the University of California, and when it fails to honor the principles of fairness in favor of connections and wealth, it fails its mission.”"
Democratic Assembly,20210910-california-legislature-approves-statewide-eviction-defense-program.txt,"October 10, 2021",8,fairness,,,,"It builds upon an approach that has been proven to protect vulnerable communities, save taxpayer resources, and improve the fairness and efficiency of our judicial system.”"
Democratic Assembly,20210925-governor-signs-six-ramos-tribal-bills-california-native-american-day.txt,"July 4, 2020",37,fairness,,,,This important day marks another step in our mission to provide equal access and fairness throughout our justice system—one in which all Californians feel seen and represented.
Democratic Assembly,20211028-lawmakers-hear-tribes-educators-about-gaps-successes-native-american.txt,,10,bias,,,,"At their worst, they reflect bias and prejudice, perhaps even racism,” Ramos said."
Democratic Assembly,20211115-ramos-riverside-school-board-session-over-classroom-incident-begins-long.txt,,1,bias,,,,Ramos (D-Highland) today issued the following statement following a special board meeting of the Riverside Unified School District aimed at eliminating cultural bias and insensitivity towards Native Americans.
Democratic Assembly,20211115-ramos-riverside-school-board-session-over-classroom-incident-begins-long.txt,,7,bias,,,,"The incident that brought us together underscores why educators must form engaged partnerships with California tribes to correct ignorance and bias in our local, state, and national educational systems and teacher training programs."
Democratic Assembly,20211115-ramos-riverside-school-board-session-over-classroom-incident-begins-long.txt,,13,bias,,,,"Confronting ignorance about Native American culture and history that leads to bias and prejudice is a long-term process that will demand scrutiny over what we teach and fostering respect in our schools and other institutions."""
Democratic Assembly,20220215-assemblymember-ward-introduces-bill-improve-diversity-civil-grand-juries.txt,,15,bias,,,,"“We need to address bias and lack of diversity in all parts of the legal system, but right now juries are disproportionately made up of white retirees who can afford to take time off to serve."
Democratic Assembly,20220218-speaker-rendon-announces-formation-select-committee-poverty-and-economic.txt,,9,fairness,,,,"We are at a moment of inflection, and have a real opportunity to examine our basic choices that have shaped the structure, fairness, justice and efficiency of programs and policies across our public, nonprofit, philanthropic, and private sectors."
Democratic Assembly,20220223-assemblymember-arambula-introduces-ab-1900-relieve-californias-seniors.txt,,13,fairness,,,,: “This is simply a matter of fairness for people who are struggling to make ends meet and need access to health care.
Democratic Assembly,20220322-boerner-horvaths-bill-assist-senior-and-disabled-homeowners-passes-first.txt,,1,fairness,,,,— Assemblymember Boerner Horvath’s (D-Encinitas) bill to increase fairness for our seniors and those with disabilities passed the Assembly Revenue and Taxation Committee with bipartisan support on Monday.
Democratic Assembly,20220426-assemblymember-kalra-releases-statement-ab-1651.txt,,10,bias,,,,Technologies that pose a higher risk of producing bias-based decisions will undergo an impact assessment with worker input.
Democratic Assembly,20220503-matt-haney-sworn-assemblymember-17th-district.txt,,12,llm,,,,"Assemblymember Haney holds a BA in Urban Development from UC Berkeley, an MA from Stanford University School of Education, a JD from Stanford Law School, and an LLM in Human Rights from National University of Ireland."
Democratic Assembly,20220621-elected-officials-and-community-leaders-roll-out-new-report-online-hate-and.txt,,37,algorithms,,,,"Facebook, for example, has evidence that its algorithms encourage polarization and “exploit the human brain’s attraction to divisiveness,” but the company has"
Democratic Assembly,20220701-assemblymember-haney-community-leaders-speak-out-against-1775-rise-anti.txt,,2,bias,,,,"Hate crimes targeting the Black and API communities, as well as hate crimes involving sexual orientation bias, all increased significantly over a one year period."
Democratic Assembly,20220823-california-legislature-approves-assemblymember-kalras-ab-2167-encourage.txt,,7,bias,,,,"“By requiring courts to first consider alternatives to incarceration, AB 2167 shifts California away from an overly punitive process riddled with bias toward more effective, cost-efficient rehabilitation efforts.”"
Democratic Assembly,20220830-after-two-year-fight-state-legislature-approves-major-social-media.txt,,48,algorithms,,,,"Facebook, for example, has evidence that its algorithms encourage polarization and “exploit the human brain’s attraction to divisiveness,” but the company has"
Democratic Assembly,20220831-racial-justice-act-all-passes-california-legislature.txt,"January 1, 2021",3,bias,,,,"In a phased-in approach, AB 256 would allow persons with convictions or judgements prior to January 1, 2021 to petition the court and seek relief if a racial bias violation was proven to be present in their case."
Democratic Assembly,20220831-racial-justice-act-all-passes-california-legislature.txt,"January 1, 2021",4,bias,,,,"“When we passed the Racial Justice Act, we did so with a promise to not leave behind those with past criminal convictions and sentences that were tainted by institutionalized and implicit racial bias in our courts."
Democratic Assembly,20220831-racial-justice-act-all-passes-california-legislature.txt,"January 1, 2021",5,bias,,,,"For those incarcerated because of unjust racial bias, AB 256 will extend the possible remedies to cure the harm and seek justice,” said"
Democratic Assembly,20220831-racial-justice-act-all-passes-california-legislature.txt,"January 1, 2021",8,bias,,,,"Prior to the Racial Justice Act, proving racial bias was nearly impossible because of the 30-year legal precedent set by"
Democratic Assembly,20220831-racial-justice-act-all-passes-california-legislature.txt,"January 1, 2021",12,bias,,,,Supreme Court required California defendants in criminal cases to prove intentional discrimination when challenging racial bias in their case.
Democratic Assembly,20220831-racial-justice-act-all-passes-california-legislature.txt,"January 1, 2021",13,bias,,,,"The landmark Racial Justice Act finally began to address this issue, but unfortunately the bill was narrowed to prospective cases, excluding those who had already been harmed by the racial bias and discrimination that permeates our criminal legal system."
Democratic Assembly,20220831-racial-justice-act-all-passes-california-legislature.txt,"January 1, 2021",20,bias,,,,"Though bruised by amendments, the RJA for All expands our civil rights protections to imprisoned Californians, among others, so that everyone can challenge the systemic bias and racism our highest institutions have inherited."
Democratic Assembly,20220831-racial-justice-act-all-passes-california-legislature.txt,"January 1, 2021",30,fairness,,,,"“Fairness demands that the protections of the Racial Justice Act extend to all Californians, and with the passage of this bill, they finally will.”"
Democratic Assembly,20220831-racial-justice-act-all-passes-california-legislature.txt,"January 1, 2021",31,bias,,,,"“AB 256 represents a critical step forward in the fight against racial bias and discrimination in our criminal legal system,” said"
Democratic Assembly,20220831-racial-justice-act-all-passes-california-legislature.txt,"January 1, 2021",36,bias,,,,"For those incarcerated due to racial bias, the Racial Justice Act for All provides a path forward to fight the systemic racism that has contaminated our legal system,” said"
Democratic Assembly,20220913-after-two-year-fight-governor-newsom-signs-landmark-social-media.txt,,63,algorithms,,,,"Facebook, for example, has evidence that its algorithms encourage polarization and “exploit the human brain’s attraction to divisiveness,” but the company has"
Democratic Assembly,20220918-governor-signs-bill-extend-and-strengthen-californias-nonprofit-security.txt,,38,bias,,,,"“Since the start of the pandemic, Asian Americans, and especially women and the elderly, have been targeted by a staggering increase in hate, bias, and violence."
Democratic Assembly,20220918-governor-signs-bill-extend-and-strengthen-californias-nonprofit-security.txt,,47,bias,,,,"In the wake of the recent spike in hate crimes and bias incidents against Hindu Americans and Hindu temples, we're especially thankful to Assemblymember Jesse Gabriel for his continued leadership in ensuring that vulnerable institutions, organizations, and communities in the state are better protected from hate."" -"
Democratic Assembly,20220918-governor-signs-bill-extend-and-strengthen-californias-nonprofit-security.txt,,49,bias,,,,"""While Sikhs have been an integral part of the American fabric for over 125 years, they remain disproportionately targeted in cases of bigotry, bias, bullying, and backlash."
